cardCode,cardName,description,effects,keywords,imagePath


11202,이동:나이트,이동합니다.,Move::Any:2.1/1.2/-1.2/-2.1/1.-2/2.-1/-1.-2/-2.-1,
11203,이동:퀸,이동합니다.,Move::Any:1.1/-1.-1/1.-1/-1.1/2.2/-2.-2/2.-2/-2.2/3.3/-3.-3/3.-3/-3.3/4.4/-4.-4/4.-4/-4.4/5.5/-5.-5/5.-5/-5.5/0.1/0.-1/-1.0/1.0/0.2/0.-2/-2.0/2.0/0.3/0.-3/-3.0/3.0/0.4/0.-4/-4.0/4.0/0.5/0.-5/-5.0/5.0,
11204,이동:비숍,이동합니다.,Move::Any:1.1/-1.-1/1.-1/-1.1/2.2/-2.-2/2.-2/-2.2/3.3/-3.-3/3.-3/-3.3/4.4/-4.-4/4.-4/-4.4/5.5/-5.-5/5.-5/-5.5,
11205,이동:퀸,이동합니다.,Move::Any:1.1/-1.-1/1.-1/-1.1/2.2/-2.-2/2.-2/-2.2/3.3/-3.-3/3.-3/-3.3/4.4/-4.-4/4.-4/-4.4/5.5/-5.-5/5.-5/-5.5/0.1/0.-1/-1.0/1.0/0.2/0.-2/-2.0/2.0/0.3/0.-3/-3.0/3.0/0.4/0.-4/-4.0/4.0/0.5/0.-5/-5.0/5.0,
11206,이동:룩,이동합니다.,Move::Any:0.1/0.-1/-1.0/1.0/0.2/0.-2/-2.0/2.0/0.3/0.-3/-3.0/3.0/0.4/0.-4/-4.0/4.0/0.5/0.-5/-5.0/5.0,
11207,이동:퀸,이동합니다.,Move::Any:1.1/-1.-1/1.-1/-1.1/2.2/-2.-2/2.-2/-2.2/3.3/-3.-3/3.-3/-3.3/4.4/-4.-4/4.-4/-4.4/5.5/-5.-5/5.-5/-5.5/0.1/0.-1/-1.0/1.0/0.2/0.-2/-2.0/2.0/0.3/0.-3/-3.0/3.0/0.4/0.-4/-4.0/4.0/0.5/0.-5/-5.0/5.0,
11208,이동:킹,이동합니다.,Move::Any:0.1/0.-1/-1.0/1.0/1.1/-1.-1/1.-1/-1.1,
11209,이동:퀸,이동합니다.,Move::Any:1.1/-1.-1/1.-1/-1.1/2.2/-2.-2/2.-2/-2.2/3.3/-3.-3/3.-3/-3.3/4.4/-4.-4/4.-4/-4.4/5.5/-5.-5/5.-5/-5.5/0.1/0.-1/-1.0/1.0/0.2/0.-2/-2.0/2.0/0.3/0.-3/-3.0/3.0/0.4/0.-4/-4.0/4.0/0.5/0.-5/-5.0/5.0,



12200,단검 던지기,피해를 {D} 줍니다.\n카드를 한장 뽑습니다.,Damage:4:Enemy|Draw:1,
12201,단검 던지기+,피해를 {D} 줍니다.\n카드를 한장 뽑습니다.,Damage:8:Enemy|Draw:1,
12202,소매치기,골드를 20 얻습니다.,Gold:20,Exhausts
12203,소매치기+,골드를 40 얻습니다.,Gold:40,Exhausts
12204,채력 회복,체력을 4 얻습니다.,Hp:4,Exhausts
12205,채력 회복+,체력을 8 얻습니다.,Hp:8,Exhausts
12206,영혼이 깃든 검,피해를 {D} 줍니다.\n적을 처치하면 이 카드의\n 피해량이 영구적으로\n4 만큼 얻습니다.,Damage_killeddamage:6.4:Enemy,Exhausts
12207,영혼이 깃든 검+,피해를 {D} 줍니다.\n적을 처치하면 이 카드의\n 피해량이 영구적으로\n8 만큼 얻습니다.,Damage_killeddamage:6.8:Enemy,Exhausts




21000,이동,이동합니다.,Move::Any:1,Exhausts|Ethereal
21001,이동+,이동합니다.,Move::Any:0.1/0.-1/-1.0/1.0/0.2/0.-2/-2.0/2.0,Exhausts|Ethereal
22000,타격,{D} 피해를 줍니다.,Damage:6:Enemy:1,
22001,타격+,{D} 피해를 줍니다.,Damage:9:Enemy:1,
22002,단검,{D} 피해를 줍니다.,Damage:4:Enemy:1,
22003,단검+,{D} 피해를 줍니다.,Damage:8:Enemy:1,

21200,돌진,이동합니다.\n이동방향으로 적을\n밀치고 {D} 피해를 줍니다.,pushEnmemy:6:Any:1,
21201,돌진+,이동합니다.\n이동방향으로 적을\n밀치고{D} 피해를 줍니다.,pushEnmemy:12:Any:1,
21300,비겨치기,이동합니다.\n모든 범위에\n{D} 피해를 줍니다.,Movediagonal_Damage:6:Any:1.1/-1.-1/1.-1/-1.1,
21301,비껴치기+,이동합니다.\n모든 범위에\n{D} 피해를 줍니다. ,Movediagonal_Damage:6:Any:1.1/-1.-1/1.-1/-1.1,
21302,벽력일섬,적의 뒤로 이동합니다.,BehindEnemy_Move::Enemy,Exhausts
21303,벽력일섬+.,적의 뒤로 이동합니다.,BehindEnemy_Move::Enemy,Exhausts

22100,영혼배기,{D} 피해를 줍니다.,Damage:12:Enemy:1,Exhausts
22101,영혼배기+,{D} 피해를 줍니다.,Damage:24:Enemy:1,Exhausts
22104,이중 타격,피해를 {D}만큼 2번\n줍니다. ,double_Damage:4:Enemy:1,
22105,이중 타격+,피해를 {D}만큼 2번\n줍니다. ,double_Damage:8:Enemy:1,
22106,혈류,채력을 2 잃습니다.\n{D} 피해를 줍니다. ,losehp_Damage:12.2:Enemy:1,
